monthly_upi_transactions,avg_transaction_amount,bill_payment_timeliness,mobile_recharge_frequency,age,location_type,income,occupation,savings_ratio,spending_ratio,payment_delay_days,loan_repaid,digital_activity_score,financial_discipline_score,is_underbanked
24,1365.65,0.733,7,19,rural,21841.53,nurse,0.28,0.744,0,0,32.775600000000004,0.5065,0
19,1312.49,0.727,9,41,rural,42005.48,artisan,0.393,0.698,5,1,24.93731,0.56,0
22,881.57,0.469,3,47,rural,34162.32,student,0.183,0.63,2,0,19.39454,0.32599999999999996,0
37,1298.64,0.81,7,55,rural,19887.36,small_business,0.303,0.68,17,0,48.04968,0.5565,0
23,1230.36,0.889,7,19,urban,40940.73,driver,0.01,0.776,4,0,28.29828,0.4495,0
35,1473.68,0.88,11,38,rural,41203.96,gig_worker,0.077,0.78,10,0,51.5788,0.4785,0
26,1139.42,0.868,14,50,rural,70722.49,small_business,0.279,0.907,15,0,29.624920000000003,0.5735,0
20,1227.41,0.772,2,29,rural,25510.39,driver,0.288,0.91,3,1,24.5482,0.53,0
22,339.84,0.984,5,39,rural,34480.9,driver,0.133,0.773,10,1,7.47648,0.5585,0
20,848.94,0.646,10,42,urban,70667.1,nurse,0.266,0.651,5,0,16.978800000000003,0.456,0
21,475.06,0.651,14,44,urban,47914.55,teacher,0.212,0.564,9,1,9.97626,0.4315,0
13,1447.73,0.577,13,59,rural,25404.81,artisan,0.01,0.835,8,0,18.820490000000003,0.2935,0
27,170.96,0.702,7,45,urban,29134.82,farmer,0.185,0.467,14,1,4.61592,0.4435,0
13,50.0,0.614,2,33,rural,20145.14,gig_worker,0.329,0.695,7,0,0.65,0.47150000000000003,0
19,142.06,0.408,10,32,urban,43390.91,farmer,0.419,0.512,7,0,2.69914,0.4135,0
18,736.12,0.69,10,20,urban,60560.88,student,0.184,0.856,20,1,13.25016,0.43699999999999994,0
15,50.0,0.966,2,54,urban,71356.22,small_business,0.278,0.826,0,1,0.75,0.622,0
32,50.0,0.872,11,24,urban,15246.93,student,0.246,0.685,12,1,1.6,0.5589999999999999,0
19,1182.46,0.933,13,38,urban,57644.11,student,0.3,1.202,21,0,22.46674,0.6165,0
22,153.49,0.915,6,26,urban,44957.63,farmer,0.123,0.546,7,1,3.37678,0.519,0
12,1352.48,0.762,2,56,rural,37285.25,nurse,0.209,0.761,0,0,16.22976,0.4855,0
18,189.04,0.779,10,35,rural,41564.79,teacher,0.302,0.78,3,0,3.40272,0.5405,0
20,50.0,0.691,14,21,urban,7423.23,gig_worker,0.28,0.723,6,0,1.0,0.4855,0
13,335.62,0.865,1,42,rural,53483.98,artisan,0.311,0.63,18,0,4.363060000000001,0.588,0
17,205.94,1.0,3,31,rural,18260.58,driver,0.34,0.7,0,0,3.50098,0.67,0
18,203.4,0.585,12,26,rural,28532.48,driver,0.244,1.0,10,0,3.6612000000000005,0.4145,0
19,795.24,1.0,1,43,urban,49523.72,artisan,0.265,0.688,0,0,15.10956,0.6325000000000001,0
20,935.12,0.724,6,19,rural,9300.56,nurse,0.135,0.798,4,1,18.7024,0.4295,0
21,1541.09,1.0,4,37,rural,18225.71,gig_worker,0.349,0.391,16,1,32.36289,0.6745,0
27,668.68,0.886,2,45,urban,63935.93,farmer,0.058,0.654,12,0,18.054359999999996,0.47200000000000003,0
21,993.28,0.717,13,24,urban,44197.06,artisan,0.313,1.091,10,0,20.858880000000003,0.515,0
23,185.4,0.778,15,25,rural,30080.38,driver,0.24,0.59,15,0,4.2642,0.509,0
15,396.12,0.949,12,52,urban,44267.93,farmer,0.113,0.58,7,1,5.9418,0.531,0
17,1500.1,1.0,7,31,rural,54050.57,nurse,0.119,0.993,9,0,25.501699999999996,0.5595,0
20,1552.32,0.965,7,34,urban,62245.82,driver,0.252,0.571,7,1,31.0464,0.6085,0
19,1643.73,0.74,8,53,rural,21976.17,small_business,0.183,0.549,11,1,31.23087,0.4615,0
22,787.13,0.908,12,57,rural,23552.91,teacher,0.156,0.807,10,1,17.316860000000002,0.532,0
15,187.84,1.0,12,21,urban,52950.18,farmer,0.283,1.108,19,1,2.8176,0.6415,0
17,459.35,0.904,7,19,urban,53527.43,artisan,0.01,0.846,0,1,7.808950000000001,0.457,0
14,686.09,0.797,13,23,rural,17808.56,gig_worker,0.234,0.693,7,0,9.60526,0.5155000000000001,0
22,567.42,0.566,1,59,rural,24228.41,farmer,0.164,0.922,6,0,12.48324,0.365,0
19,906.66,1.0,3,21,rural,38512.55,farmer,0.036,0.646,17,1,17.22654,0.518,0
18,1225.64,0.797,13,46,urban,42424.37,farmer,0.169,0.59,1,0,22.06152,0.48300000000000004,0
19,335.5,0.693,1,35,urban,42934.74,artisan,0.023,0.95,5,0,6.3745,0.358,0
13,1808.75,0.952,2,43,urban,17532.17,nurse,0.397,0.919,8,1,23.51375,0.6745,0
26,887.24,0.959,1,51,rural,42752.9,nurse,0.328,0.615,11,1,23.068240000000003,0.6435,0
12,1528.94,0.654,12,27,urban,29087.33,gig_worker,0.344,0.867,6,1,18.347279999999998,0.499,0
13,1061.71,0.684,9,53,urban,21006.28,nurse,0.297,0.915,4,1,13.80223,0.49050000000000005,0
33,1928.1,0.921,7,31,rural,41802.07,artisan,0.01,0.653,3,1,63.6273,0.4655,0
19,268.43,1.0,9,48,rural,39966.11,gig_worker,0.043,0.71,0,1,5.10017,0.5215,0
28,593.14,0.761,15,32,urban,56430.48,student,0.354,0.467,1,0,16.60792,0.5575,0
26,594.79,0.783,8,25,urban,26502.57,gig_worker,0.516,0.678,5,1,15.46454,0.6495,0
27,941.41,0.696,10,31,rural,46233.07,nurse,0.276,0.574,2,1,25.41807,0.486,0
13,912.87,1.0,2,40,rural,13763.85,student,0.428,0.643,21,1,11.86731,0.714,0
17,1044.42,0.938,1,57,urban,37052.6,driver,0.098,0.443,11,0,17.75514,0.518,0
20,919.98,0.619,5,38,rural,50346.2,nurse,0.126,0.916,0,0,18.3996,0.3725,0
15,1128.68,1.0,7,33,rural,51864.38,driver,0.32,0.875,11,1,16.9302,0.66,0
28,608.06,1.0,2,35,urban,41564.79,small_business,0.1,0.916,0,0,17.02568,0.55,0
15,1083.79,0.496,4,41,urban,56478.76,nurse,0.01,0.687,16,1,16.25685,0.253,0
36,2257.5,0.883,7,43,urban,33975.78,small_business,0.332,0.624,4,1,81.27,0.6075,0
16,852.25,0.542,13,42,rural,50923.06,nurse,0.112,0.735,15,1,13.636,0.327,0
17,127.86,0.767,14,58,urban,75637.41,small_business,0.01,0.747,8,0,2.17362,0.3885,0
25,536.45,0.556,9,46,rural,33591.61,teacher,0.394,0.949,9,1,13.411250000000003,0.47500000000000003,0
14,620.23,1.0,6,32,rural,66843.56,small_business,0.296,0.713,8,1,8.68322,0.648,0
14,407.07,0.754,7,18,urban,57776.51,driver,0.325,0.701,0,0,5.69898,0.5395,0
19,911.11,1.0,8,42,rural,37206.18,farmer,0.334,0.824,11,0,17.31109,0.667,0
23,1249.5,0.851,12,24,rural,38708.24,gig_worker,0.366,0.345,1,0,28.7385,0.6085,0
9,199.92,1.0,12,26,urban,44131.24,small_business,0.295,0.948,8,1,1.79928,0.6475,0
20,50.0,0.602,8,41,urban,56762.97,farmer,0.01,0.817,11,0,1.0,0.306,0
18,2086.99,0.425,13,18,urban,49247.42,artisan,0.057,0.763,17,0,37.565819999999995,0.241,0
25,381.16,0.716,9,25,rural,33450.04,teacher,0.371,0.795,15,0,9.529,0.5435,0
18,1556.72,0.753,12,41,rural,6000.0,teacher,0.306,0.848,0,0,28.02096,0.5295,0
18,1230.57,0.533,14,28,urban,54099.13,student,0.2,1.158,0,1,22.15026,0.36650000000000005,0
27,548.22,0.897,15,34,rural,7215.04,artisan,0.01,0.616,8,1,14.80194,0.4535,0
21,456.1,0.889,14,25,urban,17412.37,artisan,0.094,0.888,11,0,9.578100000000001,0.4915,0
24,547.73,1.0,10,52,urban,34755.41,student,0.174,0.759,13,1,13.145520000000001,0.587,0
20,629.01,1.0,2,52,urban,20146.59,artisan,0.107,0.543,14,0,12.580200000000001,0.5535,0
20,1159.63,0.73,13,50,urban,47715.51,driver,0.063,0.889,4,0,23.192600000000002,0.39649999999999996,0
18,153.65,0.612,15,22,urban,36668.61,artisan,0.27,0.748,8,0,2.7657000000000003,0.441,0
14,1490.93,0.511,15,59,rural,56134.16,driver,0.44,0.752,0,0,20.87302,0.47550000000000003,0
12,530.42,0.784,7,56,urban,13061.08,student,0.316,0.727,17,0,6.365039999999999,0.55,0
16,118.37,0.781,2,58,rural,30085.84,small_business,0.149,0.768,16,0,1.89392,0.465,0
22,942.53,0.889,7,45,urban,42075.59,student,0.21,0.84,7,1,20.73566,0.5495,0
11,2051.76,0.526,11,24,urban,42769.11,nurse,0.312,0.609,2,0,22.56936,0.41900000000000004,0
15,430.17,0.845,9,26,urban,54492.66,artisan,0.13,0.675,0,0,6.4525500000000005,0.4875,0
27,914.43,0.915,4,25,rural,25537.41,artisan,0.252,0.878,9,0,24.68961,0.5835,0
33,920.7,0.703,12,29,urban,33575.81,teacher,0.167,0.513,0,1,30.383100000000002,0.435,0
27,1792.67,0.921,5,51,urban,51132.29,student,0.163,0.879,12,1,48.40209,0.542,0
11,380.69,0.777,5,50,rural,6000.0,student,0.01,0.689,8,0,4.18759,0.3935,0
17,1318.12,1.0,12,40,urban,48928.83,farmer,0.227,0.878,6,1,22.408039999999996,0.6135,0
28,138.34,1.0,2,41,urban,55751.08,nurse,0.281,0.786,13,0,3.87352,0.6405000000000001,0
15,961.16,0.825,13,54,rural,17994.11,teacher,0.347,0.61,0,0,14.417399999999999,0.586,0
20,1218.44,0.975,3,52,urban,36329.59,small_business,0.01,0.61,11,0,24.368800000000004,0.4925,0
18,1351.96,0.577,13,57,urban,68867.88,artisan,0.363,0.566,7,1,24.335279999999997,0.47,0
12,165.9,0.735,10,39,urban,53876.91,teacher,0.329,0.482,6,1,1.9908000000000001,0.532,0
15,50.0,0.886,1,44,urban,50045.5,driver,0.441,0.711,12,1,0.75,0.6635,0
15,751.28,0.74,3,52,urban,59837.27,farmer,0.165,0.725,17,1,11.2692,0.4525,0
10,565.08,0.77,5,18,urban,74481.81,farmer,0.23,0.803,9,0,5.6508,0.5,0
16,140.29,0.645,9,52,urban,42333.61,driver,0.066,0.64,11,0,2.24464,0.35550000000000004,0
20,197.19,1.0,1,54,urban,34670.6,student,0.211,0.798,4,1,3.9438,0.6055,0
21,610.96,0.648,6,31,rural,59793.69,artisan,0.173,0.89,3,1,12.83016,0.4105,0
20,1704.6,0.959,12,20,urban,38625.84,artisan,0.243,1.03,9,1,34.092,0.601,0
21,234.13,0.729,2,18,urban,25295.66,nurse,0.214,0.533,5,1,4.916729999999999,0.4715,0
22,1295.75,0.932,12,22,rural,32278.81,driver,0.342,0.927,5,0,28.5065,0.637,0
27,114.37,0.707,6,43,rural,47621.93,artisan,0.189,0.762,18,0,3.0879900000000005,0.44799999999999995,0
16,473.18,0.756,10,31,urban,33907.28,farmer,0.411,0.749,17,0,7.57088,0.5835,0
12,83.89,0.893,6,56,rural,35250.45,artisan,0.01,0.631,0,0,1.00668,0.4515,0
14,1936.36,0.929,1,44,urban,23508.32,small_business,0.414,0.91,14,0,27.109039999999997,0.6715,0
18,1328.22,0.978,5,26,urban,67836.6,artisan,0.013,0.749,13,0,23.90796,0.4955,0
10,1200.69,0.825,10,32,rural,35832.72,nurse,0.343,0.474,9,0,12.006900000000002,0.584,0
28,1175.17,1.0,2,32,urban,29192.8,gig_worker,0.321,0.389,15,1,32.90476,0.6605,0
15,446.34,0.862,1,43,urban,31107.79,teacher,0.059,0.71,18,0,6.695099999999999,0.4605,0
13,867.79,0.793,11,59,urban,56445.47,gig_worker,0.404,0.788,13,1,11.281270000000001,0.5985,0
24,327.34,0.972,9,30,urban,52317.57,small_business,0.042,0.58,5,1,7.85616,0.507,0
13,2197.08,0.839,6,49,urban,32966.62,gig_worker,0.022,0.636,4,1,28.56204,0.4305,0
29,287.65,0.863,1,56,rural,42581.63,artisan,0.153,0.887,4,0,8.341849999999999,0.508,0
8,419.7,0.642,10,49,urban,46980.68,nurse,0.16,0.641,10,0,3.3575999999999997,0.401,0
28,1651.82,0.704,9,21,rural,29326.55,farmer,0.129,0.788,16,1,46.25096,0.4165,0
26,797.62,0.893,12,47,rural,14268.79,farmer,0.231,0.605,0,0,20.73812,0.562,0
13,1151.98,0.661,9,54,rural,51270.67,small_business,0.276,0.905,14,0,14.97574,0.4685,0
16,809.23,0.825,13,40,rural,30322.79,gig_worker,0.208,0.758,18,0,12.94768,0.5165,0
17,505.32,0.478,7,56,rural,49926.27,student,0.046,0.722,0,0,8.590440000000001,0.262,0
24,505.77,1.0,9,32,urban,47778.48,student,0.092,0.948,5,0,12.13848,0.546,0
21,1281.3,0.941,1,60,urban,43004.26,nurse,0.536,0.441,0,1,26.9073,0.7384999999999999,0
26,963.69,0.739,15,46,urban,34329.71,teacher,0.062,0.817,11,0,25.055940000000003,0.40049999999999997,0
14,1451.51,1.0,13,53,rural,30589.29,artisan,0.068,0.424,2,1,20.32114,0.534,0
27,1445.2,0.659,3,30,rural,21508.49,gig_worker,0.01,0.725,1,0,39.0204,0.3345,0
26,1138.49,0.719,8,49,urban,30934.54,student,0.366,0.718,17,1,29.600740000000002,0.5425,0
30,1373.84,0.911,3,24,urban,52238.67,student,0.364,0.771,1,1,41.215199999999996,0.6375,0
13,1118.55,0.988,8,39,urban,67160.86,gig_worker,0.28,0.399,10,1,14.54115,0.634,0
18,1040.23,0.717,3,45,rural,64519.79,teacher,0.413,0.752,7,1,18.72414,0.565,0
18,688.03,0.903,4,19,urban,44617.61,driver,0.112,0.929,4,1,12.38454,0.5075000000000001,0
15,50.0,0.881,13,59,rural,67151.29,artisan,0.047,0.599,7,1,0.75,0.464,0
15,532.72,0.815,12,23,rural,36477.28,small_business,0.261,0.588,6,0,7.9908,0.538,0
19,1573.6,0.722,12,45,urban,18761.16,artisan,0.291,0.615,15,1,29.8984,0.5065,0
20,994.17,0.972,14,45,urban,76575.74,nurse,0.249,0.859,15,0,19.883399999999998,0.6105,0
15,649.02,0.457,4,37,urban,51590.55,small_business,0.174,0.563,10,1,9.735299999999999,0.3155,0
19,1450.85,0.845,5,47,urban,14376.65,teacher,0.374,0.641,18,0,27.566149999999997,0.6094999999999999,0
18,626.11,0.697,10,28,urban,70062.87,nurse,0.213,0.853,12,0,11.26998,0.45499999999999996,0
18,1203.88,0.798,10,45,urban,28618.4,farmer,0.258,0.56,2,1,21.669840000000004,0.528,0
14,1514.87,0.695,11,42,rural,32534.12,farmer,0.216,0.881,3,0,21.20818,0.45549999999999996,0
11,1153.66,0.603,4,56,urban,60384.9,artisan,0.146,0.607,22,1,12.69026,0.3745,0
25,1380.88,0.704,7,50,urban,66510.73,nurse,0.061,0.681,13,0,34.522,0.38249999999999995,0
18,1086.31,0.72,11,18,rural,23986.7,small_business,0.283,0.862,9,1,19.553579999999997,0.5015,0
9,50.0,0.778,4,44,rural,68477.83,small_business,0.01,0.856,9,1,0.45,0.394,0
19,1505.41,0.818,11,30,urban,57736.26,farmer,0.125,0.631,8,0,28.602790000000002,0.4715,0
20,1251.19,0.933,1,58,rural,27604.52,farmer,0.145,0.542,24,0,25.0238,0.539,0
14,697.83,1.0,5,20,urban,37573.69,teacher,0.038,0.958,2,1,9.769620000000002,0.519,0
25,556.24,0.832,12,56,rural,69290.45,nurse,0.176,0.663,14,1,13.906,0.504,0
21,911.8,0.632,8,23,rural,13909.89,small_business,0.287,0.78,16,0,19.1478,0.4595,0
16,250.36,0.96,6,25,rural,66852.86,student,0.239,0.828,3,0,4.00576,0.5994999999999999,0
17,1321.44,0.868,4,44,urban,57235.33,teacher,0.134,0.571,2,1,22.46448,0.501,0
32,774.49,0.64,4,26,rural,51164.53,small_business,0.313,0.464,0,1,24.78368,0.47650000000000003,0
15,400.41,0.834,13,54,urban,44370.52,farmer,0.26,0.808,1,0,6.006150000000001,0.5469999999999999,0
27,1182.24,0.942,1,50,urban,77462.48,nurse,0.048,0.445,13,1,31.92048,0.495,0
16,1087.38,0.668,10,59,urban,80122.62,driver,0.104,0.521,7,1,17.39808,0.386,0
18,1258.43,0.718,13,41,urban,30925.86,nurse,0.01,0.816,12,1,22.65174,0.364,0
13,207.76,0.834,1,32,urban,53019.69,gig_worker,0.168,0.768,13,1,2.70088,0.501,0
33,1218.39,0.768,3,49,rural,75738.78,student,0.12,0.759,7,0,40.20687,0.444,0
22,1743.27,0.541,4,49,rural,27869.2,student,0.186,0.607,1,0,38.35194,0.36350000000000005,0
16,828.57,1.0,15,41,urban,46376.51,student,0.51,0.917,12,0,13.25712,0.755,0
17,796.82,0.712,4,58,urban,60069.76,driver,0.01,0.531,0,1,13.54594,0.361,0
23,154.85,0.694,2,29,urban,6000.0,artisan,0.01,0.331,16,0,3.5615499999999995,0.352,0
18,891.04,0.752,11,56,urban,56913.99,artisan,0.444,0.383,0,0,16.038719999999998,0.598,0
21,338.38,0.8,9,19,urban,22408.22,teacher,0.299,0.712,0,1,7.10598,0.5495,0
24,1433.79,0.876,8,20,rural,45461.96,driver,0.366,0.681,5,0,34.410959999999996,0.621,0
16,2063.21,0.626,3,54,urban,62598.21,driver,0.168,0.818,0,0,33.01136,0.397,0
21,2075.88,1.0,11,34,urban,6000.0,teacher,0.323,0.8,0,0,43.59348000000001,0.6615,0
33,421.97,0.562,2,19,urban,56145.46,nurse,0.201,0.676,8,1,13.92501,0.38150000000000006,0
22,481.16,0.738,1,19,rural,78689.92,teacher,0.35,0.438,4,0,10.58552,0.544,0
11,1152.58,0.956,10,45,rural,32400.58,gig_worker,0.373,0.584,4,1,12.678379999999999,0.6645,0
20,735.02,0.945,9,40,rural,52380.42,farmer,0.359,0.597,6,0,14.7004,0.6519999999999999,0
18,857.01,0.317,5,54,rural,66035.15,artisan,0.122,0.971,0,0,15.42618,0.2195,0
19,2077.17,0.807,8,49,urban,13326.99,farmer,0.234,0.663,12,0,39.46623,0.5205000000000001,0
27,308.11,0.828,13,50,urban,55632.66,artisan,0.076,0.865,1,0,8.318970000000002,0.45199999999999996,0
29,983.33,0.86,15,18,rural,60427.79,driver,0.303,0.718,11,0,28.516569999999998,0.5815,0
17,1040.37,0.709,4,36,urban,53495.16,student,0.271,0.667,6,1,17.686289999999996,0.49,0
16,1375.03,0.773,2,19,rural,43559.21,teacher,0.01,0.596,6,0,22.00048,0.3915,0
11,418.69,0.911,5,43,urban,23992.57,teacher,0.289,0.774,5,0,4.60559,0.6,0
12,1591.7,0.953,8,49,urban,67045.62,teacher,0.285,0.498,14,0,19.1004,0.619,0
26,981.22,0.56,15,23,urban,42621.06,student,0.305,0.675,15,0,25.51172,0.4325,0
18,435.61,0.902,6,49,rural,25730.15,gig_worker,0.227,0.7,15,1,7.84098,0.5645,0
24,759.68,0.882,8,21,rural,36275.54,gig_worker,0.305,0.716,6,0,18.23232,0.5935,0
25,1351.26,0.971,11,28,urban,48630.94,student,0.267,0.529,8,1,33.7815,0.619,0
20,1891.31,0.663,3,34,urban,13898.67,nurse,0.086,0.611,2,1,37.8262,0.3745,0
32,674.31,0.898,5,55,urban,42322.75,student,0.315,0.736,4,1,21.57792,0.6065,0
17,1908.03,0.482,2,41,urban,34496.21,small_business,0.077,0.721,0,1,32.43651,0.27949999999999997,0
29,1471.17,0.753,12,22,urban,66048.48,artisan,0.06,0.906,3,0,42.66393,0.4065,0
28,594.68,0.761,15,51,urban,8251.97,small_business,0.252,0.644,10,1,16.65104,0.5065,0
16,1151.22,0.834,11,23,urban,58897.64,small_business,0.01,0.468,7,0,18.419520000000002,0.422,0
13,1286.04,0.95,12,39,urban,67507.71,student,0.12,0.597,4,0,16.71852,0.5349999999999999,0
25,730.15,0.623,3,28,urban,8932.4,artisan,0.173,0.492,14,1,18.25375,0.398,0
27,527.81,1.0,7,33,urban,11090.72,nurse,0.419,0.964,1,1,14.250869999999999,0.7095,0
22,783.2,0.397,1,50,urban,74146.2,teacher,0.188,0.825,8,1,17.230400000000003,0.2925,0
21,656.33,0.516,8,26,urban,25721.3,small_business,0.509,0.745,24,0,13.78293,0.5125,0
17,988.02,0.989,5,23,urban,97706.92,student,0.01,0.752,18,1,16.79634,0.4995,0
18,1941.32,0.839,2,33,rural,9494.88,teacher,0.291,0.667,4,1,34.943760000000005,0.565,0
27,1079.34,1.0,3,46,urban,45060.85,student,0.317,0.435,16,1,29.142179999999996,0.6585,0
12,1754.41,0.958,13,20,urban,41578.91,driver,0.082,0.602,3,0,21.05292,0.52,0
13,1134.22,0.822,4,37,urban,38252.48,small_business,0.206,0.248,11,0,14.744860000000001,0.514,0
20,2296.68,0.731,2,53,rural,50333.32,driver,0.204,0.805,20,0,45.9336,0.46749999999999997,0
20,443.22,0.707,10,36,rural,51371.64,nurse,0.383,0.705,5,1,8.864400000000002,0.5449999999999999,0
17,50.0,0.886,13,43,rural,38982.14,farmer,0.01,0.694,13,0,0.85,0.448,0
16,986.6,0.715,5,20,rural,23744.87,gig_worker,0.502,0.551,6,0,15.7856,0.6085,0
22,1049.66,0.865,7,36,urban,60859.69,artisan,0.01,0.662,4,0,23.09252,0.4375,0
14,1638.11,0.698,13,37,rural,53304.95,student,0.284,0.789,12,1,22.933539999999997,0.491,0
14,1802.23,0.856,9,49,rural,44062.51,nurse,0.089,0.751,11,0,25.23122,0.4725,0
20,70.44,1.0,1,24,urban,52734.61,nurse,0.292,0.483,0,0,1.4088,0.646,0
14,763.89,0.92,10,58,urban,55840.95,nurse,0.121,0.555,5,1,10.69446,0.5205,0
13,919.51,0.736,13,50,urban,28288.82,small_business,0.422,0.8,0,0,11.953629999999999,0.579,0
16,273.19,0.883,6,57,rural,52092.25,driver,0.235,0.632,0,1,4.37104,0.5589999999999999,0
17,780.06,0.87,6,56,urban,32045.36,gig_worker,0.157,1.006,6,0,13.261019999999998,0.5135,0
20,1395.43,0.857,1,35,rural,56436.6,small_business,0.052,0.507,10,0,27.908600000000003,0.4545,0
21,1431.19,0.889,2,57,urban,38536.81,farmer,0.278,0.645,14,1,30.05499,0.5835,0
14,1037.25,0.983,11,18,urban,53010.95,artisan,0.288,0.613,0,0,14.5215,0.6355,0
20,1698.01,1.0,15,28,urban,34191.68,artisan,0.166,0.641,0,1,33.9602,0.583,0
10,1024.25,0.82,8,45,urban,53946.64,gig_worker,0.224,0.503,18,1,10.2425,0.522,0
24,1489.58,0.572,6,42,rural,24382.15,artisan,0.262,0.348,2,1,35.749919999999996,0.417,0
14,430.81,0.835,13,40,rural,42651.04,artisan,0.316,0.782,0,0,6.03134,0.5755,0
21,463.87,0.792,1,48,urban,59651.39,nurse,0.07,0.949,19,0,9.74127,0.43100000000000005,0
10,1888.57,0.919,10,47,rural,50409.68,teacher,0.151,0.597,7,1,18.8857,0.535,0
15,606.08,0.602,13,59,urban,45456.52,farmer,0.312,0.732,4,0,9.0912,0.45699999999999996,0
23,1356.82,0.91,10,52,rural,74464.1,driver,0.204,0.65,3,0,31.206859999999995,0.557,0
25,586.51,0.843,11,24,urban,60425.46,student,0.01,0.649,1,1,14.66275,0.4265,0
17,1045.09,0.645,6,33,urban,57399.72,farmer,0.459,0.57,7,0,17.76653,0.552,0
26,782.11,0.447,10,43,urban,53844.5,small_business,0.347,0.805,10,1,20.33486,0.397,0
19,1208.07,0.976,15,19,urban,56088.54,artisan,0.01,0.725,11,0,22.953329999999998,0.493,0
27,1205.42,0.642,7,18,urban,71827.84,teacher,0.121,0.561,0,1,32.54634,0.3815,0
13,519.23,0.554,2,29,rural,34481.96,student,0.456,0.82,18,0,6.7499899999999995,0.505,0
18,1224.95,0.718,11,22,rural,60169.27,small_business,0.288,0.937,6,1,22.049100000000003,0.503,0
14,278.75,1.0,4,54,rural,48416.78,gig_worker,0.01,0.892,10,0,3.9025,0.505,0
19,1712.89,0.855,7,49,urban,35103.88,nurse,0.01,0.653,13,0,32.54491,0.4325,0
22,1029.62,0.9,13,26,urban,40204.95,artisan,0.01,0.528,5,1,22.65164,0.455,0
27,50.0,0.811,11,58,urban,45944.78,nurse,0.146,0.524,11,1,1.35,0.47850000000000004,0
18,195.75,0.874,15,52,urban,26521.08,farmer,0.32,0.594,8,0,3.5235,0.597,0
14,1192.2,0.783,6,36,rural,57552.23,nurse,0.01,0.606,6,1,16.6908,0.3965,0
17,1330.32,0.735,11,33,urban,40148.67,nurse,0.305,0.837,8,0,22.61544,0.52,0
19,654.64,0.705,8,20,urban,43528.72,gig_worker,0.088,0.343,4,0,12.43816,0.39649999999999996,0
20,928.51,0.765,14,37,urban,66429.65,driver,0.01,0.669,2,1,18.5702,0.3875,0
18,1212.82,1.0,13,41,rural,44335.47,driver,0.168,0.587,9,0,21.830759999999998,0.584,0
11,1505.57,0.923,6,50,urban,69948.03,small_business,0.516,0.55,9,1,16.56127,0.7195,0
19,1303.93,0.666,2,41,urban,32553.34,artisan,0.422,0.773,9,0,24.77467,0.544,0
18,569.81,0.581,1,28,urban,22252.74,small_business,0.145,0.561,17,0,10.256579999999998,0.363,0
14,1532.14,0.804,5,25,urban,36780.12,driver,0.251,0.655,10,0,21.449960000000004,0.5275000000000001,0
26,50.0,0.512,11,53,urban,6000.0,farmer,0.133,0.836,5,0,1.3,0.3225,0
26,710.09,0.983,10,55,urban,58303.71,driver,0.01,0.628,9,0,18.46234,0.4965,0
23,1160.02,0.36,14,57,rural,23299.83,small_business,0.129,0.905,23,1,26.68046,0.2445,0
16,246.97,0.764,12,37,urban,30881.48,teacher,0.316,0.536,0,1,3.95152,0.54,0
17,877.48,0.496,10,52,rural,54893.01,artisan,0.043,0.165,20,0,14.917159999999999,0.2695,0
25,1126.65,0.901,9,42,rural,44144.18,nurse,0.381,0.769,10,1,28.166250000000005,0.641,0
29,462.11,0.684,2,52,rural,34070.18,gig_worker,0.387,0.736,8,1,13.40119,0.5355000000000001,0
